timestamp,ueImsiComplete,numActiveUes,DRB.EstabSucc.5QI.UEID (numDrb),DRB.RelActNbr.5QI.UEID (0),enbdev (m_cellId),UE (imsi),sameCellSinr,sameCellSinr 3gpp encoded,L3 neigh Id (cellId),sinr,3gpp encoded sinr (convertedSinr)
1732474826947,00003,12,1,0,,,,,,,
1732474826947,00001,12,1,0,,,,,,,
1732474826947,00004,12,1,0,,,,,,,
1732474826947,00009,12,1,0,,,,,,,
1732474826947,00002,12,1,0,,,,,,,
1732474826947,00007,12,1,0,,,,,,,
1732474826947,00008,12,1,0,,,,,,,
1732474826947,00005,12,1,0,,,,,,,
1732474826947,00011,12,1,0,,,,,,,
1732474826947,00012,12,1,0,,,,,,,
1732474826947,00010,12,1,0,,,,,,,
1732474826947,00006,12,1,0,,,,,,,
1732474827047,00003,12,1,0,,,,,,,
1732474827047,00001,12,1,0,,,,,,,
1732474827047,00004,12,1,0,,,,,,,
1732474827047,00009,12,1,0,,,,,,,
1732474827047,00002,12,1,0,,,,,,,
1732474827047,00007,12,1,0,,,,,,,
1732474827047,00008,12,1,0,,,,,,,
1732474827047,00005,12,1,0,,,,,,,
1732474827047,00011,12,1,0,,,,,,,
1732474827047,00012,12,1,0,,,,,,,
1732474827047,00010,12,1,0,,,,,,,
1732474827047,00006,12,1,0,,,,,,,
1732474827147,00003,12,1,0,,,,,,,
1732474827147,00001,12,1,0,,,,,,,
1732474827147,00004,12,1,0,,,,,,,
1732474827147,00009,12,1,0,,,,,,,
1732474827147,00002,12,1,0,,,,,,,
1732474827147,00007,12,1,0,,,,,,,
1732474827147,00008,12,1,0,,,,,,,
1732474827147,00005,12,1,0,,,,,,,
1732474827147,00011,12,1,0,,,,,,,
1732474827147,00012,12,1,0,,,,,,,
1732474827147,00010,12,1,0,,,,,,,
1732474827147,00006,12,1,0,,,,,,,
1732474827247,00003,12,1,0,,,,,,,
1732474827247,00001,12,1,0,,,,,,,
1732474827247,00004,12,1,0,,,,,,,
1732474827247,00009,12,1,0,,,,,,,
1732474827247,00002,12,1,0,,,,,,,
1732474827247,00007,12,1,0,,,,,,,
1732474827247,00008,12,1,0,,,,,,,
1732474827247,00005,12,1,0,,,,,,,
1732474827247,00011,12,1,0,,,,,,,
1732474827247,00012,12,1,0,,,,,,,
1732474827247,00010,12,1,0,,,,,,,
1732474827247,00006,12,1,0,,,,,,,
1732474827347,00003,12,1,0,,,,,,,
1732474827347,00001,12,1,0,,,,,,,
1732474827347,00004,12,1,0,,,,,,,
1732474827347,00009,12,1,0,,,,,,,
1732474827347,00002,12,1,0,,,,,,,
1732474827347,00007,12,1,0,,,,,,,
1732474827347,00008,12,1,0,,,,,,,
1732474827347,00005,12,1,0,,,,,,,
1732474827347,00011,12,1,0,,,,,,,
1732474827347,00012,12,1,0,,,,,,,
1732474827347,00010,12,1,0,,,,,,,
1732474827347,00006,12,1,0,,,,,,,
1732474827447,00003,12,1,0,,,,,,,
1732474827447,00001,12,1,0,,,,,,,
1732474827447,00004,12,1,0,,,,,,,
1732474827447,00009,12,1,0,,,,,,,
1732474827447,00002,12,1,0,,,,,,,
1732474827447,00007,12,1,0,,,,,,,
1732474827447,00008,12,1,0,,,,,,,
1732474827447,00005,12,1,0,,,,,,,
1732474827447,00011,12,1,0,,,,,,,
1732474827447,00012,12,1,0,,,,,,,
1732474827447,00010,12,1,0,,,,,,,
1732474827447,00006,12,1,0,,,,,,,
1732474827547,00003,12,1,0,,,,,,,
1732474827547,00001,12,1,0,,,,,,,
1732474827547,00004,12,1,0,,,,,,,
1732474827547,00009,12,1,0,,,,,,,
1732474827547,00002,12,1,0,,,,,,,
1732474827547,00007,12,1,0,,,,,,,
1732474827547,00008,12,1,0,,,,,,,
1732474827547,00005,12,1,0,,,,,,,
1732474827547,00011,12,1,0,,,,,,,
1732474827547,00012,12,1,0,,,,,,,
1732474827547,00010,12,1,0,,,,,,,
1732474827547,00006,12,1,0,,,,,,,
1732474827647,00003,12,1,0,,,,,,,
1732474827647,00001,12,1,0,,,,,,,
1732474827647,00004,12,1,0,,,,,,,
1732474827647,00009,12,1,0,,,,,,,
1732474827647,00002,12,1,0,,,,,,,
1732474827647,00007,12,1,0,,,,,,,
1732474827647,00008,12,1,0,,,,,,,
1732474827647,00005,12,1,0,,,,,,,
1732474827647,00011,12,1,0,,,,,,,
1732474827647,00012,12,1,0,,,,,,,
1732474827647,00010,12,1,0,,,,,,,
1732474827647,00006,12,1,0,,,,,,,
1732474827747,00003,12,1,0,,,,,,,
1732474827747,00001,12,1,0,,,,,,,
1732474827747,00004,12,1,0,,,,,,,
1732474827747,00009,12,1,0,,,,,,,
1732474827747,00002,12,1,0,,,,,,,
1732474827747,00007,12,1,0,,,,,,,
1732474827747,00008,12,1,0,,,,,,,
1732474827747,00005,12,1,0,,,,,,,
1732474827747,00011,12,1,0,,,,,,,
1732474827747,00012,12,1,0,,,,,,,
1732474827747,00010,12,1,0,,,,,,,
1732474827747,00006,12,1,0,,,,,,,
1732474827847,00003,12,1,0,,,,,,,
1732474827847,00001,12,1,0,,,,,,,
1732474827847,00004,12,1,0,,,,,,,
1732474827847,00009,12,1,0,,,,,,,
1732474827847,00002,12,1,0,,,,,,,
1732474827847,00007,12,1,0,,,,,,,
1732474827847,00008,12,1,0,,,,,,,
1732474827847,00005,12,1,0,,,,,,,
1732474827847,00011,12,1,0,,,,,,,
1732474827847,00012,12,1,0,,,,,,,
1732474827847,00010,12,1,0,,,,,,,
1732474827847,00006,12,1,0,,,,,,,
1732474827947,00003,12,1,0,,,,,,,
1732474827947,00001,12,1,0,,,,,,,
1732474827947,00004,12,1,0,,,,,,,
1732474827947,00009,12,1,0,,,,,,,
1732474827947,00002,12,1,0,,,,,,,
1732474827947,00007,12,1,0,,,,,,,
1732474827947,00008,12,1,0,,,,,,,
1732474827947,00005,12,1,0,,,,,,,
1732474827947,00011,12,1,0,,,,,,,
1732474827947,00012,12,1,0,,,,,,,
1732474827947,00010,12,1,0,,,,,,,
1732474827947,00006,12,1,0,,,,,,,
1732474828047,00003,12,1,0,,,,,,,
1732474828047,00001,12,1,0,,,,,,,
1732474828047,00004,12,1,0,,,,,,,
1732474828047,00009,12,1,0,,,,,,,
1732474828047,00002,12,1,0,,,,,,,
1732474828047,00007,12,1,0,,,,,,,
1732474828047,00008,12,1,0,,,,,,,
1732474828047,00005,12,1,0,,,,,,,
1732474828047,00011,12,1,0,,,,,,,
1732474828047,00012,12,1,0,,,,,,,
1732474828047,00010,12,1,0,,,,,,,
1732474828047,00006,12,1,0,,,,,,,
1732474828147,00003,12,1,0,,,,,,,
1732474828147,00001,12,1,0,,,,,,,
1732474828147,00004,12,1,0,,,,,,,
1732474828147,00009,12,1,0,,,,,,,
1732474828147,00002,12,1,0,,,,,,,
1732474828147,00007,12,1,0,,,,,,,
